category,type,photo_id,class
aeroway,aerodrome,5,airport
aeroway,apron,2,airport
aeroway,terminal,31,airport
amenity,atm,3,financial
amenity,bank,4,financial
amenity,bar,1,food
amenity,bureau_de_change,1,financial
amenity,bus_station,2,transport
amenity,cafe,2,food
amenity,car_rental,1,transport
amenity,clinic,2,health
amenity,community_centre,1,public
amenity,doctors,1,health
amenity,fast_food,4,food
amenity,fountain,1,public
amenity,fuel,4,public
amenity,hospital,1,health
amenity,marketplace,5,shop
amenity,parking,8,transport
amenity,payment_terminal,1,food
amenity,pharmacy,1,health
amenity,place_of_worship,3,historic-worship
amenity,restaurant,17,food
amenity,taxi,1,transport
amenity,university,34,school
building,apartments,22,apartments
building,commercial,3,public
building,dormitory,1,school
building,government,1,public
building,historic,1,public
building,hospital,1,health
building,hotel,2,public
building,house,2,apartments
building,industrial,4,shop
building,pavilion,8,shop
building,residential,24,public
building,train_station,4,transport
building,university,9,school
building,yes,36,public
craft,welder,1,public
highway,bus_stop,12,transport
highway,motorway,10,road
highway,pedestrian,5,road
highway,primary,17,road
highway,residential,60,road
highway,secondary,6,road
highway,service,1,road
highway,tertiary,7,road
highway,trunk,12,road
highway,unclassified,24,road
historic,castle,1,historic-worship
historic,heritage,1,historic-worship
historic,memorial,1,historic-worship
historic,monument,2,historic-worship
leisure,beach_resort,5,leisure
leisure,garden,1,public
leisure,stadium,1,leisure
man_made,bridge,1,road
office,diplomatic,1,road
office,government,1,food
office,research,1,school
office,yes,4,shop
place,house,99,road
place,town,1,road
railway,platform,1,public
railway,station,17,transport
railway,stop,1,transport
shop,alcohol,1,road
shop,bakery,1,road
shop,beverages,1,food
shop,bicycle,3,road
shop,bookmaker,1,public
shop,car,1,food
shop,car_repair,2,public
shop,clothes,3,road
shop,computer,1,shop
shop,convenience,5,public
shop,cosmetics,1,shop
shop,electronics,1,road
shop,florist,1,shop
shop,gift,2,public
shop,hairdresser,2,food
shop,jewelry,1,road
shop,kiosk,1,public
shop,mall,16,shop
shop,mobile_phone,2,public
shop,perfumery,2,shop
shop,seafood,2,shop
shop,sports,1,road
shop,supermarket,5,shop
shop,travel_agency,2,road
shop,tyres,2,public
tourism,attraction,15,leisure
tourism,hotel,11,leisure
tourism,museum,5,leisure
tourism,zoo,1,leisure